type,text,reading,meaning,note
sentence,(或)大便頻數而泄하야 耗穀氣之化生하고,혹대변빈삭이설하야 모곡기지화생하고,대변을 자주 보고 설사해서 곡기가 변화해 생겨나는 것을 소모하고,
sentence,(或)溲便利滑而濁하야 耗源泉之浸潤하며,혹수변리활이탁하야 모원천지침윤하며,소변이 원활하면서도 탁해서 원천(근원적 수기)이 전신을 적시는 것을 소모시킨다.,
sentence,至於精清冷而下漏하고 汗淋漓而外泄하여도,지어정청랭이하루하고 한림리이외설하여도,정액이 청랭하여 새어나가고 몸이 완전히 망가진 상태에 땀이 흠뻑 젖을 정도로 나며 빠져나가도,
sentence,莫不由食物過傷과 滋味太厚라,막불유식물과상과 자미태후라,음식물을 먹는 것이 지나쳐 상하는 경우와 맛이 지나치게 두터운 경우에 의하지 않은 것이 없다.,
sentence,如能節滿意之食하고 省爽口之味하야 長不至於飽甚者는,여능절만의지식하고 생상구지미하야 장부지어포심자는,만약 능히 가득 채우고자 하는 음식과 입을 기쁘게 하는 맛을 조절하고 줄여 오래도록 심하게 배부른 데에 이르지 않는 사람은,
sentence,卽頓頓必無傷하고 物物皆爲益이라,즉돈돈필무상하고 물물개위익이라,끼니마다 반드시 상함이 없을 것이고 음식마다 모두 이익이 될 것이다.,
sentence,糟粕變化하야 早晩溲便하고 按時華精하야 和一上下하면,조박변화하야 조만수변하고 안시화정하야 화일상하하면,조박으로 변화해 아침저녁으로 대소변을 보고 때에 맞게 정기로 변화해 하나로 조화롭게 되어 오르내리면,
sentence,津液蓄神하야 含藏內守하고 榮衛外護하야 邪毒不能犯이니,진액축신하야 함장내수하고 영위외호하야 사독불능범이니,진액이 신을 쌓아서 정신을 갈무리해 오장에 잘 깃들어 안을 지키고 영위가 밖에서 지켜 나쁜 독기가 침범할 수 없으니,
sentence,疾疹無由作이라,질진무유작이라,병이 그로 말미암아 일어나지 않는다.,
sentence,故로 知古人之立言垂教가 足以爲養生之大經也라,고로 지고인지입언수교가 족이위양생지대경야라,그러므로 옛사람이 말을 세우고 가르침을 베푸는 것이 이로써 양생의 큰 가르침이 되기에 충분함을 알겠다.,
paragraph,語曰 不多食이라하고 又曰 食無求飽라하니 謂食物은 無務於多요 貴在能節이니 所以保沖和而順頤養也라,어왈 불다식이라하고 우왈 식무구포라하니 위식물은 무무어다요 귀재능절이니 소이보충화이순이양야라,"논어에서 말하기를 많이 먹지 않는다 하고 또 말하기를 먹을 때 배부름을 구하지 말라하니, 음식물을 먹는 것은 많이 먹는 데에 힘쓰지 말아야 하고 그 귀함이 능히 절제할 수 있음에 있음을 말하였으니, 조화로운 기운을 보존하고 섭양을 따르는 방법이다.",식무구포의 기본 뜻
paragraph,若貪生務飽하야 淤塞難消하면 徒積暗傷하야 以召疾患이라,약탐생무포하야 어색난소하면 도적암상하야 이소질환이라,만약 날 것을 탐하고 배부름에 힘써서 막혀 소화하기 어렵다면 단지 쌓여서 나도 모르는 사이에 상하게 되어 이로써 질환을 부른다.,과식의 위험
paragraph,肉雖多나 不使勝食氣하시며 唯酒無量하시되 不及亂이러시다 沽酒市脯를 不食하시며 不撤薑食하시며 不多食이러시다,육수다나 불사승식기하시며 유주무량하시되 불급란이러시다 고주시포를 불식하시며 불철강식하시며 불다식이러시다,"고기가 비록 많으나 그 고기로 하여금 밥기운을 이기지 않게 하시며 오직 술은 헤아림이 없게 하시되 어지러움에 이르지 않으셨다. 파는 술과 시장의 말린 고기를 먹지 않으시며 생강 먹는 것을 물리지 않으셨으며 많이 먹지 않으셨다.",논어 관련 구절
paragraph,子曰 君子食無求飽하며 居無求安하며 敏於事而慎於言이요 就有道而正焉이면 可謂好學也已니라,자왈 군자식무구포하며 거무구안하며 민어사이신어언이요 취유도이정언이면 가위호학야이니라,공자가 말하기를 군자는 먹을 때 배부름을 구하지 않고 거처함에 편안함을 구하지 않았으며 일에 있어서는 민첩하게 하되 말에 있어서는 조심히 하며 도가 있는 곳으로 나아가서 바르게 한다면 가히 배움을 좋아한다고 말할 수 있다.,군자와 호학
paragraph,蓋食物甚飽하면 耗氣非一이니 或食不下而上涌嘔吐하야 以耗靈源하고 或飲不消而作痰咯唾하야 以耗神水하며 (或)大便頻數而泄하야 耗穀氣之化生하고 (或)溲便利滑而濁하야 耗源泉之浸潤하며 至於精清冷而下漏하고 汗淋漓而外泄하여도 莫不由食物過傷과 滋味太厚라,개식물심포하면 모기비일이니 혹식불하이상용구토하야 이모영원하고 혹음불소이작담각타하야 이모신수하며 혹대변빈삭이설하야 모곡기지화생하고 혹수변리활이탁하야 모원천지침윤하며 지어정청랭이하루하고 한림리이외설하여도 막불유식물과상과 자미태후라,"대개 음식물을 먹되 매우 배부르게 한다면 기를 소모하는 것이 한 가지가 아니니, 먹은 것이 내려가지 않아 위로 솟구쳐 구토하게 되어 영원을 소모하고, 마신 것이 소화되지 않아 담을 만들고 침을 뱉게 해서 신수를 소모하며, 대변을 자주 보고 설사해서 곡기가 변화해 생겨나는 것을 소모하고, 소변이 원활하면서도 탁해서 원천이 전신을 적시는 것을 소모시킨다. 정액이 청랭하여 새어나가고 땀이 밖으로 빠져나가도 음식물이 지나쳐 상하는 경우와 맛이 지나치게 두터운 경우에 의하지 않은 것이 없다.",과식이 몸을 상하게 하는 양상
paragraph,如能節滿意之食하고 省爽口之味하야 長不至於飽甚者는 卽頓頓必無傷하고 物物皆爲益이라,여능절만의지식하고 생상구지미하야 장부지어포심자는 즉돈돈필무상하고 물물개위익이라,만약 능히 가득 채우고자 하는 음식과 입을 기쁘게 하는 맛을 조절하고 줄여 오래도록 심하게 배부른 데에 이르지 않는 사람은 끼니마다 반드시 상함이 없을 것이고 음식마다 모두 이익이 될 것이다.,절식의 이로움
paragraph,糟粕變化하야 早晩溲便하고 按時華精하야 和一上下하면 津液蓄神하야 含藏內守하고 榮衛外護하야 邪毒不能犯이니 疾疹無由作이라,조박변화하야 조만수변하고 안시화정하야 화일상하하면 진액축신하야 함장내수하고 영위외호하야 사독불능범이니 질진무유작이라,조박으로 변화해 아침저녁으로 대소변을 보고 때에 맞게 정기로 변화해 하나로 조화롭게 되어 오르내리면 진액이 신을 쌓아서 정신을 갈무리해 오장에 잘 깃들어 안을 지키고 영위가 밖에서 지켜 나쁜 독기가 침범할 수 없으니 병이 그로 말미암아 일어나지 않는다.,절식 후 몸의 조화
paragraph,故로 知古人之立言垂教가 足以爲養生之大經也라,고로 지고인지입언수교가 족이위양생지대경야라,그러므로 옛사람이 말을 세우고 가르침을 베푸는 것이 이로써 양생의 큰 가르침이 되기에 충분함을 알겠다.,결론
